T,hard sphere,square well,lennard jones
100,4.935218096479841e+25,-2.084081887272565e+26,-1.6097783022896015e+26
101,4.935218096479841e+25,-2.0411983554587508e+26,-1.582239315209413e+26
102,4.935218096479841e+25,-1.9996312942761744e+26,-1.5554300384336442e+26
103,4.935218096479841e+25,-1.9593235182470542e+26,-1.5293222352468488e+26
104,4.935218096479841e+25,-1.9202210059420674e+26,-1.5038890948774529e+26
105,4.935218096479841e+25,-1.8822726892546834e+26,-1.4791051442982887e+26
106,4.935218096479841e+25,-1.8454302589810706e+26,-1.4549461664466372e+26
107,4.935218096479841e+25,-1.8096479852748255e+26,-1.4313891243288526e+26
108,4.935218096479841e+25,-1.774882551685676e+26,-1.4084120905246837e+26
109,4.935218096479841e+25,-1.7410929016161073e+26,-1.3859941816512435e+26
110,4.935218096479841e+25,-1.7082400961414633e+26,-1.3641154973868502e+26
111,4.935218096479841e+25,-1.6762871822388475e+26,-1.342757063691151e+26
112,4.935218096479841e+25,-1.6451990705596334e+26,-1.3219007798905101e+26
113,4.935218096479841e+25,-1.6149424219605504e+26,-1.3015293693269728e+26
114,4.935218096479841e+25,-1.5854855420804027e+26,-1.281626333295591e+26
115,4.935218096479841e+25,-1.5567982833141935e+26,-1.2621759080187691e+26
116,4.935218096479841e+25,-1.5288519535947233e+26,-1.2431630244279096e+26
117,4.935218096479841e+25,-1.5016192314442581e+26,-1.2245732705421539e+26
118,4.935218096479841e+25,-1.4750740868062212e+26,-1.2063928562517343e+26
119,4.935218096479841e+25,-1.4491917072096227e+26,-1.1886085803294881e+26
120,4.935218096479841e+25,-1.4239484288576268e+26,-1.1712077995086636e+26
121,4.935218096479841e+25,-1.3993216722665936e+26,-1.1541783994783699e+26
122,4.935218096479841e+25,-1.375289882113664e+26,-1.1375087676600701e+26
123,4.935218096479841e+25,-1.3518324709796133e+26,-1.1211877676394575e+26
124,4.935218096479841e+25,-1.328929766699817e+26,-1.105204715138056e+26
125,4.935218096479841e+25,-1.3065629630597978e+26,-1.0895493554179635e+26
126,4.935218096479841e+25,-1.2847140735933758e+26,-1.0742118420214864e+26
127,4.935218096479841e+25,-1.2633658882609962e+26,-1.059182716754991e+26
128,4.935218096479841e+25,-1.2425019328036683e+26,-1.0444528908332325e+26
129,4.935218096479841e+25,-1.2221064305841817e+26,-1.0300136271067929e+26
130,4.935218096479841e+25,-1.2021642667421256e+26,-1.0158565233010442e+26
131,4.935218096479841e+25,-1.1826609545027447e+26,-1.0019734962004162e+26
132,4.935218096479841e+25,-1.1635826034920738e+26,-9.883567667166068e+25
133,4.935218096479841e+25,-1.1449158899220917e+26,-9.749988457838895e+25
134,4.935218096479841e+25,-1.1266480285200006e+26,-9.618925210287746e+25
135,4.935218096479841e+25,-1.108766746085232e+26,-9.490308441650937e+25
136,4.935218096479841e+25,-1.0912602565664801e+26,-9.364071190690403e+25
137,4.935218096479841e+25,-1.0741172375590321e+26,-9.240148904919465e+25
138,4.935218096479841e+25,-1.0573268081300267e+26,-9.118479333714944e+25
139,4.935218096479841e+25,-1.0408785078859609e+26,-8.999002427048405e+25
140,4.935218096479841e+25,-1.024762277203e+26,-8.881660239495938e+25
141,4.935218096479841e+25,-1.0089684385463194e+26,-8.766396839209754e+25
142,4.935218096479841e+25,-9.934876788099449e+25,-8.653158221555785e+25
143,4.935218096479841e+25,-9.783110326134285e+25,-8.541892227141856e+25
144,4.935218096479841e+25,-9.63429866496102e+25,-8.432548463978992e+25
145,4.935218096479841e+25,-9.488358639538142e+25,-8.325078233535694e+25
146,4.935218096479841e+25,-9.34521011266806e+25,-8.219434460460749e+25
147,4.935218096479841e+25,-9.204775840709307e+25,-8.115571625764606e+25
148,4.935218096479841e+25,-9.066981346276252e+25,-8.013445703263138e+25
149,4.935218096479841e+25,-8.93175479751075e+25,-7.913014099100031e+25
150,4.935218096479841e+25,-8.799026893537614e+25,-7.81423559417583e+25
151,4.935218096479841e+25,-8.668730755741737e+25,-7.717070289322408e+25
152,4.935218096479841e+25,-8.54080182452831e+25,-7.6214795530719176e+25
153,4.935218096479841e+25,-8.415177761249834e+25,-7.527425971878464e+25
154,4.935218096479841e+25,-8.291798355004073e+25,-7.434873302659662e+25
155,4.935218096479841e+25,-8.17060543402601e+25,-7.343786427533225e+25
156,4.935218096479841e+25,-8.051542781414705e+25,-7.254131310631501e+25
157,4.935218096479841e+25,-7.934556054952332e+25,-7.165874956883753e+25
158,4.935218096479841e+25,-7.819592710787735e+25,-7.0789853726627155e+25
159,4.935218096479841e+25,-7.706601930771517e+25,-6.993431528198097e+25
160,4.935218096479841e+25,-7.59553455324228e+25,-6.909183321665372e+25
161,4.935218096479841e+25,-7.48634300707654e+25,-6.826211544863671e+25
162,4.935218096479841e+25,-7.3789812488259265e+25,-6.744487850401543e+25
163,4.935218096479841e+25,-7.273404702776123e+25,-6.66398472031411e+25
164,4.935218096479841e+25,-7.169570203771961e+25,-6.584675436039437e+25
165,4.935218096479841e+25,-7.067435942662452e+25,-6.506534049686141e+25
166,4.935218096479841e+25,-6.966961414228093e+25,-6.42953535652813e+25
167,4.935218096479841e+25,-6.868107367461092e+25,-6.35365486866579e+25
168,4.935218096479841e+25,-6.770835758076559e+25,-6.2788687897966386e+25
169,4.935218096479841e+25,-6.675109703139974e+25,-6.205153991041269e+25
170,4.935218096479841e+25,-6.5808934377027694e+25,-6.132487987773679e+25
171,4.935218096479841e+25,-6.488152273344139e+25,-6.0608489174077364e+25
172,4.935218096479841e+25,-6.396852558522949e+25,-5.990215518094138e+25
173,4.935218096479841e+25,-6.306961640649161e+25,-5.920567108284742e+25
174,4.935218096479841e+25,-6.218447829789199e+25,-5.851883567123492e+25
175,4.935218096479841e+25,-6.131280363924493e+25,-5.784145315625189e+25
176,4.935218096479841e+25,-6.0454293756870076e+25,-5.71733329860558e+25
177,4.935218096479841e+25,-5.960865860499648e+25,-5.651428967328077e+25
178,4.935218096479841e+25,-5.877561646053491e+25,-5.5864142628342146e+25
179,4.935218096479841e+25,-5.7954893630574714e+25,-5.522271599926693e+25
180,4.935218096479841e+25,-5.714622417199615e+25,-5.4589838517755124e+25
181,4.935218096479841e+25,-5.6349349622622335e+25,-5.3965343351190595e+25
182,4.935218096479841e+25,-5.556401874336572e+25,-5.334906796033688e+25
183,4.935218096479841e+25,-5.478998727085261e+25,-5.274085396246391e+25
184,4.935218096479841e+25,-5.402701768003726e+25,-5.2140546999666465e+25
185,4.935218096479841e+25,-5.327487895634167e+25,-5.154799661214743e+25
186,4.935218096479841e+25,-5.253334637688293e+25,-5.096305611624707e+25
187,4.935218096479841e+25,-5.1802201300371145e+25,-5.038558248701518e+25
188,4.935218096479841e+25,-5.108123096528378e+25,-4.981543624512847e+25
189,4.935218096479841e+25,-5.037022829594135e+25,-4.9252481347967915e+25
190,4.935218096479841e+25,-4.966899171612964e+25,-4.869658508467869e+25
191,4.935218096479841e+25,-4.89773249699306e+25,-4.81476179750447e+25
192,4.935218096479841e+25,-4.829503694944193e+25,-4.760545367201633e+25
193,4.935218096479841e+25,-4.762194152908047e+25,-4.706996886773912e+25
194,4.935218096479841e+25,-4.695785740618101e+25,-4.6541043202938315e+25
195,4.935218096479841e+25,-4.630260794761467e+25,-4.601855917951943e+25
196,4.935218096479841e+25,-4.565602104216654e+25,-4.550240207625381e+25
197,4.935218096479841e+25,-4.501792895842295e+25,-4.4992459867422154e+25
198,4.935218096479841e+25,-4.438816820793308e+25,-4.4488623144296674e+25
199,4.935218096479841e+25,-4.376657941341902e+25,-4.3990785039346826e+25
200,4.935218096479841e+25,-4.315300718182013e+25,-4.34988411530588e+25
201,4.935218096479841e+25,-4.254729998196846e+25,-4.301268948326553e+25
202,4.935218096479841e+25,-4.194931002670039e+25,-4.253223035688614e+25
203,4.935218096479841e+25,-4.135889315921937e+25,-4.2057366363980765e+25
204,4.935218096479841e+25,-4.077590874353392e+25,-4.158800229402889e+25
205,4.935218096479841e+25,-4.020021955880245e+25,-4.112404507434558e+25
206,4.935218096479841e+25,-3.963169169742454e+25,-4.0665403710551044e+25
207,4.935218096479841e+25,-3.907019446672629e+25,-4.021198922901523e+25
208,4.935218096479841e+25,-3.8515600294093363e+25,-3.976371462120141e+25
209,4.935218096479841e+25,-3.7967784635412903e+25,-3.9320494789835935e+25
210,4.935218096479841e+25,-3.7426625886691646e+25,-3.888224649683475e+25
211,4.935218096479841e+25,-3.6892005298722906e+25,-3.844888831292051e+25
